Fuel cell
 Voltage controlled: 2.77 V
 Scan rate: 0.50 s
 23.10.2024 15:08:48
 
 Time [s]	Voltage [V]	Current [A]	Power [W]
0.145000	3.440938	0.000000	0.000000
0.645000	3.451680	0.001844	0.006365
1.145000	2.774922	0.062677	0.173924
1.645000	2.759453	0.062677	0.172954
2.145000	2.757734	0.062677	0.172846
2.645000	2.759024	0.060834	0.167842
3.145000	2.757734	0.060834	0.167764
3.645000	2.760312	0.058990	0.162831
4.145000	2.759024	0.058990	0.162755
4.645000	2.758164	0.058990	0.162704
5.145000	2.762890	0.057147	0.157891
5.645000	2.761602	0.057147	0.157817
6.145000	2.760312	0.057147	0.157744
6.645000	2.758164	0.057147	0.157621
7.145000	2.757305	0.057147	0.157572
7.645000	2.761602	0.057147	0.157817
8.145000	2.760742	0.057147	0.157768
8.645000	2.760312	0.057147	0.157744
9.145000	2.759883	0.055303	0.152630
9.645000	2.758594	0.057147	0.157645
10.145000	2.759453	0.055303	0.152606
10.645000	2.762461	0.057147	0.157866
11.145000	2.759024	0.057147	0.157670
11.645000	2.758164	0.057147	0.157621
12.145000	2.757305	0.057147	0.157572
12.645000	2.760742	0.055303	0.152677
13.145000	2.760312	0.055303	0.152654
13.645000	2.759883	0.055303	0.152630
14.145000	2.759024	0.055303	0.152582
14.645000	2.758594	0.055303	0.152559
15.145000	2.762890	0.053460	0.147704
15.645000	2.763320	0.053460	0.147727
16.145000	2.763320	0.053460	0.147727
16.645000	2.758594	0.055303	0.152559
17.145000	2.761602	0.053460	0.147635
17.645000	2.761602	0.055303	0.152725
18.145000	2.762890	0.053460	0.147704
18.645000	2.762031	0.053460	0.147658
19.145000	2.761172	0.053460	0.147612
19.645000	2.762031	0.053460	0.147658
20.145000	2.758164	0.055303	0.152535
20.645000	2.761602	0.053460	0.147635
21.145000	2.758164	0.055303	0.152535
21.645000	2.762031	0.053460	0.147658
22.145000	2.758164	0.053460	0.147451
22.645000	2.758594	0.055303	0.152559
23.145000	2.761172	0.055303	0.152701
23.645000	2.760312	0.055303	0.152654
24.145000	2.760312	0.053460	0.147566
24.645000	2.758594	0.053460	0.147474
25.145000	2.763320	0.053460	0.147727
25.645000	2.759024	0.053460	0.147497
26.145000	2.760742	0.053460	0.147589
26.645000	2.760312	0.053460	0.147566
27.145000	2.764180	0.053460	0.147773
27.645000	2.763750	0.051616	0.142654
28.145000	2.759883	0.053460	0.147543
28.645000	2.758594	0.053460	0.147474
29.145000	2.762461	0.053460	0.147681
29.645000	2.758164	0.053460	0.147451
30.145000	2.757734	0.053460	0.147428
30.645000	2.761172	0.051616	0.142521
31.145000	2.759883	0.053460	0.147543
31.645000	2.759883	0.053460	0.147543
32.145000	2.760312	0.053460	0.147566
32.645000	2.759883	0.053460	0.147543
33.145000	2.759883	0.051616	0.142454
33.645000	2.760742	0.051616	0.142498
34.145000	2.760312	0.053460	0.147566
34.645000	2.760742	0.051616	0.142498
35.145000	2.761172	0.053460	0.147612
35.645000	2.761172	0.053460	0.147612
36.145000	2.762461	0.053460	0.147681
36.645000	2.763320	0.053460	0.147727
37.145000	2.764609	0.053460	0.147796
37.645000	2.760312	0.053460	0.147566
38.145000	2.760312	0.053460	0.147566
38.645000	2.763320	0.051616	0.142632
39.145000	2.759883	0.053460	0.147543
39.645000	2.759883	0.055303	0.152630
40.145000	2.763320	0.051616	0.142632
40.645000	2.759024	0.055303	0.152582
41.145000	2.763320	0.053460	0.147727
41.645000	2.759024	0.055303	0.152582
42.145000	2.758594	0.053460	0.147474
42.645000	2.762461	0.053460	0.147681
43.145000	2.758164	0.055303	0.152535
43.645000	2.761172	0.053460	0.147612
44.145000	2.760312	0.053460	0.147566
44.645000	2.761172	0.053460	0.147612
45.145000	2.760312	0.051616	0.142476
45.645000	2.759453	0.053460	0.147520
46.145000	2.759024	0.053460	0.147497
46.645000	2.759453	0.053460	0.147520
47.145000	2.759024	0.051616	0.142410
47.645000	2.762031	0.053460	0.147658
48.145000	2.758594	0.053460	0.147474
48.645000	2.760312	0.053460	0.147566
49.145000	2.760312	0.051616	0.142476
49.645000	2.760312	0.051616	0.142476
50.145000	2.761172	0.051616	0.142521
50.645000	2.762031	0.051616	0.142565
51.145000	2.761602	0.051616	0.142543
51.645000	2.763320	0.053460	0.147727
52.145000	2.762461	0.051616	0.142587
52.645000	2.761602	0.053460	0.147635
53.145000	2.758164	0.051616	0.142365
53.645000	2.761172	0.051616	0.142521
54.145000	2.762031	0.053460	0.147658
54.645000	2.761172	0.053460	0.147612
55.145000	2.761172	0.051616	0.142521
55.645000	2.760312	0.053460	0.147566
56.145000	2.760312	0.053460	0.147566
56.645000	2.759883	0.051616	0.142454
57.145000	2.759883	0.051616	0.142454
57.645000	2.760312	0.053460	0.147566
58.145000	2.765469	0.051616	0.142742
58.645000	2.761602	0.051616	0.142543
59.145000	2.762031	0.053460	0.147658
59.645000	2.762031	0.051616	0.142565
60.145000	2.762461	0.051616	0.142587
60.645000	2.762031	0.051616	0.142565
61.145000	2.762461	0.051616	0.142587
61.645000	2.761172	0.051616	0.142521
62.145000	2.761602	0.053460	0.147635
62.645000	2.760742	0.051616	0.142498
63.145000	2.759883	0.053460	0.147543
63.645000	2.759453	0.053460	0.147520
64.145000	2.759883	0.053460	0.147543
64.645000	2.762031	0.051616	0.142565
65.145000	2.760742	0.051616	0.142498
65.645000	2.761602	0.051616	0.142543
66.145000	2.761602	0.053460	0.147635
66.645000	2.762461	0.051616	0.142587
67.145000	2.762890	0.051616	0.142609
67.645000	2.763320	0.051616	0.142632
68.145000	2.763750	0.051616	0.142654
68.645000	2.759453	0.053460	0.147520
69.145000	2.759883	0.053460	0.147543
