Fuel cell
 Voltage controlled: 1.15 V
 Scan rate: 0.50 s
 23.10.2024 14:45:06
 
 Time [s]	Voltage [V]	Current [A]	Power [W]
0.267000	3.475742	0.000000	0.000000
0.767000	2.401094	0.195405	0.469186
1.267000	1.935742	0.357628	0.692276
1.767000	1.663750	0.466391	0.775958
2.267000	1.451914	0.547502	0.794926
2.767000	1.328164	0.588058	0.781037
3.267000	1.227187	0.613866	0.753328
3.767000	1.167031	0.624926	0.729308
4.267000	1.122773	0.626770	0.703720
4.767000	1.096562	0.621240	0.681228
5.267000	1.075937	0.610179	0.656514
5.767000	1.064336	0.600962	0.639625
6.267000	1.060039	0.588058	0.623364
6.767000	1.055742	0.571467	0.603322
7.267000	1.054883	0.560406	0.591163
7.767000	1.054883	0.545658	0.575605
8.267000	1.061328	0.534598	0.567384
8.767000	1.066484	0.516163	0.550480
9.267000	1.072930	0.505103	0.541940
9.767000	1.078516	0.495886	0.534821
10.267000	1.084961	0.484825	0.526016
10.767000	1.090117	0.477451	0.520477
11.267000	1.095703	0.470077	0.515065
11.767000	1.099570	0.462704	0.508775
12.267000	1.107734	0.457173	0.506426
12.767000	1.113320	0.451643	0.502823
13.267000	1.116758	0.447956	0.500258
13.767000	1.121484	0.444269	0.498241
14.267000	1.123203	0.442426	0.496934
14.767000	1.124492	0.440582	0.495431
15.267000	1.127070	0.438739	0.494490
15.767000	1.125781	0.436895	0.491848
16.267000	1.127500	0.435052	0.490521
16.767000	1.128359	0.433209	0.488815
17.267000	1.128789	0.433209	0.489002
17.767000	1.129648	0.431365	0.487291
18.267000	1.130508	0.431365	0.487662
18.767000	1.130938	0.429522	0.485763
19.267000	1.131797	0.427678	0.484045
19.767000	1.131797	0.427678	0.484045
20.267000	1.132656	0.425835	0.482325
20.767000	1.130508	0.425835	0.481410
21.267000	1.128359	0.425835	0.480495
21.767000	1.126211	0.423991	0.477503
22.267000	1.127930	0.422148	0.476153
22.767000	1.127930	0.420305	0.474075
23.267000	1.128789	0.418461	0.472354
23.767000	1.130508	0.418461	0.473074
24.267000	1.132656	0.416618	0.471885
24.767000	1.134375	0.416618	0.472601
25.267000	1.136094	0.416618	0.473317
25.767000	1.136953	0.418461	0.475770
26.267000	1.136523	0.416618	0.473496
26.767000	1.142109	0.416618	0.475823
27.267000	1.142109	0.416618	0.475823
27.767000	1.138242	0.418461	0.476310
28.267000	1.134375	0.418461	0.474692
28.767000	1.133516	0.418461	0.474332
29.267000	1.130078	0.418461	0.472894
29.767000	1.131367	0.416618	0.471348
30.267000	1.133516	0.414774	0.470153
30.767000	1.132227	0.414774	0.469618
31.267000	1.136953	0.414774	0.471579
31.767000	1.138242	0.414774	0.472113
32.267000	1.145117	0.416618	0.477076
32.767000	1.141680	0.420305	0.479854
33.267000	1.137383	0.418461	0.475950
33.767000	1.176484	0.420305	0.494482
34.267000	1.224609	0.431365	0.528253
34.767000	1.234922	0.449800	0.555468
35.267000	1.219453	0.466391	0.568742
35.767000	1.180352	0.477451	0.563560
36.267000	1.140820	0.482981	0.550994
36.767000	1.113320	0.479295	0.533609
37.267000	1.090547	0.473764	0.516662
37.767000	1.087539	0.466391	0.507218
38.267000	1.107305	0.459017	0.508272
38.767000	1.121914	0.453486	0.508772
39.267000	1.117187	0.451643	0.504570
39.767000	1.108164	0.446113	0.494366
40.267000	1.116758	0.440582	0.492023
40.767000	1.139531	0.438739	0.499957
41.267000	1.153711	0.444269	0.512558
41.767000	1.148984	0.446113	0.512577
42.267000	1.137383	0.447956	0.509498
42.767000	1.130508	0.444269	0.502250
43.267000	1.119766	0.444269	0.497477
43.767000	1.115898	0.440582	0.491645
44.267000	1.134375	0.438739	0.497695
44.767000	1.161445	0.440582	0.511712
45.267000	1.193672	0.446113	0.532513
45.767000	1.256836	0.462704	0.581543
46.267000	1.324727	0.494042	0.654471
46.767000	1.334609	0.525381	0.701178
47.267000	1.284766	0.560406	0.719991
47.767000	1.225039	0.578840	0.709102
48.267000	1.152422	0.588058	0.677691
48.767000	1.088828	0.588058	0.640294
49.267000	1.109453	0.578840	0.642196
49.767000	1.109883	0.571467	0.634262
50.267000	1.095273	0.565936	0.619854
50.767000	1.145547	0.564093	0.646195
51.267000	1.177344	0.569623	0.670642
51.767000	1.135234	0.573310	0.650841
52.267000	1.100000	0.571467	0.628614
52.767000	1.074648	0.564093	0.606201
53.267000	1.060898	0.551189	0.584755
53.767000	1.054453	0.536441	0.565652
54.267000	1.067344	0.523537	0.558794
54.767000	1.109453	0.512477	0.568569
55.267000	1.269726	0.523537	0.664749
55.767000	1.307109	0.549345	0.718054
56.267000	1.283047	0.578840	0.742679
56.767000	1.231914	0.600962	0.740334
57.267000	1.173477	0.613866	0.720358
57.767000	1.132227	0.617553	0.699210
58.267000	1.093984	0.610179	0.667526
58.767000	1.072070	0.602805	0.646249
59.267000	1.059609	0.591744	0.627017
59.767000	1.054883	0.576997	0.608664
60.267000	1.054883	0.562249	0.593107
60.767000	1.054453	0.551189	0.581203
61.267000	1.061328	0.536441	0.569340
61.767000	1.067344	0.521694	0.556827
62.267000	1.071641	0.510633	0.547215
62.767000	1.078516	0.497729	0.536809
63.267000	1.085820	0.490355	0.532437
63.767000	1.096562	0.482981	0.529619
64.267000	1.104297	0.475608	0.525212
64.767000	1.109023	0.471921	0.523371
65.267000	1.113750	0.466391	0.519443
65.767000	1.117187	0.462704	0.516927
66.267000	1.123203	0.459017	0.515569
66.767000	1.127500	0.457173	0.515463
67.267000	1.124492	0.457173	0.514087
67.767000	1.121914	0.453486	0.508772
68.267000	1.113320	0.449800	0.500771
68.767000	1.109883	0.444269	0.493087
69.267000	1.120195	0.440582	0.493538
69.767000	1.121055	0.438739	0.491851
70.267000	1.210859	0.440582	0.533483
70.767000	1.313984	0.468234	0.615252
71.267000	1.268008	0.494042	0.626449
71.767000	1.181211	0.512477	0.605343
72.267000	1.121914	0.512477	0.574955
72.767000	1.090547	0.508790	0.554859
73.267000	1.075937	0.497729	0.535525
73.767000	1.076367	0.490355	0.527802
74.267000	1.093125	0.479295	0.523929
74.767000	1.124062	0.473764	0.532540
75.267000	1.151992	0.473764	0.545772
75.767000	1.151562	0.477451	0.549814
76.267000	1.131797	0.479295	0.542465
76.767000	1.119336	0.477451	0.534428
77.267000	1.108594	0.473764	0.525212
77.767000	1.100859	0.466391	0.513431
78.267000	1.098711	0.459017	0.504327
78.767000	1.105156	0.453486	0.501173
79.267000	1.111602	0.449800	0.499999
79.767000	1.115898	0.444269	0.495759
80.267000	1.115898	0.440582	0.491645
80.767000	1.113320	0.436895	0.486404
81.267000	1.113750	0.433209	0.482487
81.767000	1.115039	0.429522	0.478934
82.267000	1.121484	0.425835	0.477567
82.767000	1.125781	0.425835	0.479397
83.267000	1.138242	0.423991	0.482604
83.767000	1.149414	0.423991	0.487341
84.267000	1.164023	0.429522	0.499973
84.767000	1.170039	0.433209	0.506871
85.267000	1.169609	0.438739	0.513153
85.767000	1.158867	0.444269	0.514849
86.267000	1.142109	0.444269	0.507404
86.767000	1.124922	0.444269	0.499768
87.267000	1.116758	0.444269	0.496141
87.767000	1.115898	0.438739	0.489588
88.267000	1.115898	0.435052	0.485474
88.767000	1.114180	0.433209	0.482673
89.267000	1.121484	0.429522	0.481702
89.767000	1.126211	0.427678	0.481656
90.267000	1.123633	0.425835	0.478482
90.767000	1.126211	0.425835	0.479580
91.267000	1.130078	0.422148	0.477060
91.767000	1.137383	0.423991	0.482240
92.267000	1.144687	0.423991	0.485337
92.767000	1.143398	0.425835	0.486899
93.267000	1.148555	0.425835	0.489095
93.767000	1.154141	0.427678	0.493601
94.267000	1.154141	0.431365	0.497856
94.767000	1.152422	0.435052	0.501363
95.267000	1.151562	0.436895	0.503112
95.767000	1.152422	0.440582	0.507736
96.267000	1.150703	0.442426	0.509101
96.767000	1.142969	0.444269	0.507786
97.267000	1.136953	0.444269	0.505113
97.767000	1.122344	0.444269	0.498623
98.267000	1.112461	0.440582	0.490130
98.767000	1.112891	0.435052	0.484165
99.267000	1.111602	0.433209	0.481556
99.767000	1.115898	0.429522	0.479303
100.267000	1.129648	0.425835	0.481044
