Fuel cell
 Voltage controlled: 3.10 V
 Scan rate: 0.50 s
 23.10.2024 15:05:48
 
 Time [s]	Voltage [V]	Current [A]	Power [W]
0.109000	3.468438	0.001844	0.006396
0.609000	3.481758	0.000000	0.000000
1.109000	3.085586	0.036869	0.113762
1.609000	3.022422	0.023965	0.072432
2.109000	3.080000	0.016591	0.051100
2.609000	3.083438	0.016591	0.051157
3.109000	3.087305	0.016591	0.051221
3.609000	3.085156	0.016591	0.051186
4.109000	3.087305	0.016591	0.051221
4.609000	3.085586	0.016591	0.051193
5.109000	3.084727	0.016591	0.051179
5.609000	3.083438	0.016591	0.051157
6.109000	3.085156	0.016591	0.051186
6.609000	3.083438	0.014748	0.045475
7.109000	3.087734	0.014748	0.045538
7.609000	3.089023	0.014748	0.045557
8.109000	3.088164	0.014748	0.045544
8.609000	3.088164	0.014748	0.045544
9.109000	3.086875	0.014748	0.045525
9.609000	3.086016	0.014748	0.045513
10.109000	3.086875	0.014748	0.045525
10.609000	3.085586	0.014748	0.045506
11.109000	3.083438	0.014748	0.045475
11.609000	3.082578	0.014748	0.045462
12.109000	3.086875	0.014748	0.045525
12.610000	3.085586	0.014748	0.045506
13.109000	3.089453	0.012904	0.039866
13.609000	3.087734	0.012904	0.039844
14.109000	3.084727	0.014748	0.045494
14.609000	3.088164	0.014748	0.045544
15.109000	3.084297	0.014748	0.045487
15.609000	3.089883	0.012904	0.039872
16.109000	3.085586	0.014748	0.045506
16.609000	3.085586	0.014748	0.045506
17.109000	3.086445	0.014748	0.045519
17.609000	3.085156	0.014748	0.045500
18.109000	3.089023	0.014748	0.045557
18.609000	3.087734	0.014748	0.045538
19.109000	3.088594	0.014748	0.045551
19.609000	3.083438	0.014748	0.045475
20.109000	3.083867	0.014748	0.045481
20.609000	3.087734	0.012904	0.039844
21.109000	3.082148	0.014748	0.045456
21.609000	3.087734	0.014748	0.045538
22.109000	3.087305	0.012904	0.039839
22.609000	3.088164	0.012904	0.039850
23.109000	3.087305	0.012904	0.039839
23.609000	3.086875	0.014748	0.045525
24.109000	3.086445	0.014748	0.045519
24.609000	3.083438	0.014748	0.045475
25.109000	3.082148	0.014748	0.045456
25.609000	3.084727	0.012904	0.039805
26.109000	3.085156	0.012904	0.039811
26.609000	3.088164	0.012904	0.039850
27.109000	3.087305	0.012904	0.039839
27.609000	3.086016	0.012904	0.039822
28.109000	3.085156	0.012904	0.039811
28.609000	3.081289	0.014748	0.045443
29.109000	3.086445	0.012904	0.039827
29.609000	3.089453	0.012904	0.039866
30.109000	3.089023	0.012904	0.039861
30.609000	3.089883	0.011061	0.034177
31.109000	3.089453	0.012904	0.039866
31.609000	3.085156	0.012904	0.039811
32.109000	3.084297	0.014748	0.045487
32.609000	3.087305	0.012904	0.039839
33.109000	3.084727	0.014748	0.045494
33.609000	3.089023	0.012904	0.039861
34.109000	3.087305	0.011061	0.034149
