Fuel cell
 Voltage controlled: 1.80 V
 Scan rate: 0.50 s
 23.10.2024 14:57:36
 
 Time [s]	Voltage [V]	Current [A]	Power [W]
0.018000	3.480469	0.001844	0.006418
0.518000	2.612930	0.129041	0.337175
1.018000	2.258437	0.230430	0.520412
1.518000	2.070664	0.298637	0.618377
2.018000	1.972266	0.339193	0.668979
2.518000	1.897070	0.366845	0.695931
3.018000	1.854101	0.381592	0.707510
3.518000	1.821445	0.390809	0.711837
4.018000	1.801680	0.394496	0.710756
4.518000	1.786640	0.396340	0.708117
5.018000	1.777617	0.394496	0.701263
5.518000	1.772891	0.394496	0.699398
6.018000	1.766875	0.390809	0.690511
6.518000	1.766016	0.387123	0.683665
7.018000	1.766016	0.383436	0.677154
7.518000	1.765156	0.379749	0.670316
8.018000	1.763438	0.376062	0.663162
8.518000	1.765156	0.370532	0.654047
9.018000	1.764727	0.368688	0.650634
9.518000	1.766016	0.365001	0.644598
10.018000	1.766875	0.363158	0.641655
10.518000	1.767305	0.357628	0.632038
11.018000	1.769453	0.353941	0.626282
11.518000	1.770313	0.350254	0.620059
12.018000	1.770742	0.350254	0.620209
12.518000	1.771172	0.346567	0.613830
13.018000	1.772891	0.344723	0.611156
13.518000	1.774609	0.342880	0.608478
14.018000	1.776328	0.341037	0.605794
14.518000	1.775469	0.339193	0.602227
15.018000	1.777617	0.337350	0.599679
15.518000	1.778477	0.335506	0.596690
16.019000	1.780195	0.333663	0.593985
16.518000	1.782773	0.331819	0.591558
17.018000	1.783633	0.331819	0.591843
17.518000	1.782773	0.331819	0.591558
18.018000	1.783633	0.331819	0.591843
18.518000	1.784922	0.331819	0.592271
19.018000	1.787070	0.331819	0.592984
19.518000	1.787930	0.333663	0.596566
20.018000	1.787070	0.331819	0.592984
20.518000	1.784922	0.331819	0.592271
21.018000	1.783203	0.331819	0.591701
21.518000	1.787070	0.331819	0.592984
22.018000	1.788359	0.331819	0.593411
22.518000	1.793516	0.331819	0.595123
23.018000	1.795234	0.331819	0.595693
23.518000	1.792656	0.335506	0.601447
24.018000	1.793945	0.337350	0.605187
24.518000	1.793945	0.339193	0.608494
25.018000	1.793516	0.339193	0.608348
25.518000	1.787500	0.341037	0.609604
26.018000	1.783203	0.341037	0.608138
26.518000	1.790078	0.341037	0.610483
27.018000	1.805976	0.342880	0.619233
27.518000	1.814570	0.346567	0.628870
28.018000	1.812852	0.350254	0.634959
28.518000	1.809414	0.353941	0.640426
29.018000	1.801680	0.357628	0.644331
29.518000	1.795664	0.361314	0.648799
30.018000	1.789648	0.363158	0.649925
30.518000	1.784492	0.363158	0.648053
31.018000	1.779336	0.363158	0.646180
31.518000	1.778906	0.359471	0.639465
32.018000	1.776758	0.359471	0.638693
32.518000	1.775039	0.357628	0.634804
33.018000	1.778477	0.353941	0.629476
33.518000	1.780625	0.353941	0.630236
34.018000	1.781055	0.350254	0.623822
34.518000	1.777617	0.352097	0.625894
35.018000	1.775898	0.350254	0.622015
35.518000	1.772461	0.348410	0.617543
36.018000	1.772461	0.346567	0.614276
36.518000	1.772031	0.342880	0.607594
37.018000	1.772461	0.339193	0.601206
37.518000	1.772461	0.337350	0.597940
38.018000	1.773320	0.335506	0.594959
38.518000	1.774180	0.331819	0.588707
39.018000	1.775898	0.331819	0.589277
39.518000	1.777188	0.328133	0.583154
40.018000	1.777617	0.328133	0.583295
40.518000	1.778477	0.326289	0.580297
41.018000	1.779336	0.324446	0.577298
41.518000	1.779766	0.324446	0.577438
42.018000	1.783633	0.324446	0.578693
42.518000	1.786211	0.324446	0.579529
43.018000	1.789219	0.324446	0.580505
43.518000	1.785351	0.324446	0.579250
44.018000	1.787070	0.324446	0.579808
44.518000	1.787500	0.322602	0.576651
45.018000	1.788789	0.324446	0.580365
